goal,target,indicator,seriesCode,seriesDesc,release,geoAreaCode,geoAreaName,parentCode,parentName,type,ISO3,UN_Member,X,Y,basePeriod,unitsCode,unitsDesc,unitmultiplierCode,unitmultiplierDesc,reportingTypeCode,reportingTypeDesc,valueDetails,footnotes,sources,timeDetails,nature,value_2000,value_2005,value_2010,value_2015,value_latest_year,latest_year,ObjectId
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,368,Iraq,145,Western Asia,Country,IRQ,1,43.76606267,33.05013795,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,818,825,825,825,825,2015,113
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,372,Ireland,154,Northern Europe,Country,IRL,1,-7.121425272,53.25274054,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,634.951,694.835,725.635,754.016,754.016,2015,114
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,376,Israel,145,Western Asia,Country,ISR,1,34.62277992,31.06164552,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,153,155,154,165,165,2015,115
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,380,Italy,39,Southern Europe,Country,ITA,1,12.57022427,42.79917282,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,8369,8759,9028,9297,9297,2015,116
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,384,Côte d'Ivoire,11,Western Africa,Country,CIV,1,-5.552690016,7.62211586,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,5094.45,4530.02,3965.58,3401.15,3401.15,2015,117
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,388,Jamaica,29,Caribbean,Country,JAM,1,-77.31068409,18.15616857,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,340.9,339.2,337.1,335.2,335.2,2015,118
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,392,Japan,30,Eastern Asia,Country,JPN,1,139.2716103,36.6554539,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,24876,24935,24966,24958,24958,2015,119
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,398,Kazakhstan,143,Central Asia,Country,KAZ,1,66.65359159,48.01963494,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,3365,3337,3309,3309,3309,2015,120
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,400,Jordan,145,Western Asia,Country,JOR,1,37.13024774,30.65365973,,HA_TH,Thousands of hectares,,,G,Global,,FAO Estimate,"FAO, Global Forest Resources Assessment",,E: Estimated data,97.5,97.5,97.5,97.5,97.5,2015,121
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2019.Q3.G.01,404,Kenya,14,Eastern Africa,Country,KEN,1,37.86096816,0.534797278,,HA_TH,Thousands of hectares,,,G,Global,,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",,C: Country data,3557,4047,4230,4413,4413,2015,122
